cohort,server_sha256,transport,protocol,run,requests,completion_tokens,wall_seconds,completion_tokens_per_second,status
legacy-v2-pre-prefill-fix,8f9d92a52a48405571e34234d5a93701da71cf1f2edf52d7fd38a51efc4be58a,tcp,2,1,2,110,10.640,10.34,PASS
legacy-v2-pre-prefill-fix,8f9d92a52a48405571e34234d5a93701da71cf1f2edf52d7fd38a51efc4be58a,tcp,2,2,2,160,14.024,11.41,PASS
legacy-v2-pre-prefill-fix,8f9d92a52a48405571e34234d5a93701da71cf1f2edf52d7fd38a51efc4be58a,tcp,2,3,2,160,14.069,11.37,PASS
legacy-v2-pre-prefill-fix,8f9d92a52a48405571e34234d5a93701da71cf1f2edf52d7fd38a51efc4be58a,tcp,2,4,2,160,14.032,11.40,PASS
legacy-v2-pre-prefill-fix,8f9d92a52a48405571e34234d5a93701da71cf1f2edf52d7fd38a51efc4be58a,tcp,2,5,2,160,14.054,11.38,PASS
v3-tcp-pre-prefill-fix,2f0abb9275ffa655e8eb5111e0e2ccf9299ea9511a297915c12921611970209a,auto-no-nhi-device,3,1,2,134,12.294,10.90,PASS
v3-tcp-pre-prefill-fix,2f0abb9275ffa655e8eb5111e0e2ccf9299ea9511a297915c12921611970209a,auto-no-nhi-device,3,2,2,160,14.079,11.36,PASS
v3-tcp-pre-prefill-fix,2f0abb9275ffa655e8eb5111e0e2ccf9299ea9511a297915c12921611970209a,auto-no-nhi-device,3,3,2,146,13.068,11.17,PASS
v3-tcp-pre-prefill-fix,2f0abb9275ffa655e8eb5111e0e2ccf9299ea9511a297915c12921611970209a,auto-no-nhi-device,3,4,2,160,14.083,11.36,PASS
v3-tcp-pre-prefill-fix,2f0abb9275ffa655e8eb5111e0e2ccf9299ea9511a297915c12921611970209a,auto-no-nhi-device,3,5,2,152,13.470,11.28,PASS
v3-tcp-r2-prefill-fix,ea6894e56c51fee03d585cdfdf94fb09435c7b06a72adf6e39df0b5c42fdf751,auto-no-nhi-device,3,sequential-pre-reboot,10,686,62.718,10.94,PASS
v3-tcp-r2-prefill-fix,ea6894e56c51fee03d585cdfdf94fb09435c7b06a72adf6e39df0b5c42fdf751,auto-no-nhi-device,3,concurrent-cold,20,1468,205.604,7.14,PASS
v3-tcp-r2-prefill-fix,ea6894e56c51fee03d585cdfdf94fb09435c7b06a72adf6e39df0b5c42fdf751,auto-no-nhi-device,3,concurrent-warm,8,580,81.432,7.12,PASS
v3-tcp-r2-prefill-fix,ea6894e56c51fee03d585cdfdf94fb09435c7b06a72adf6e39df0b5c42fdf751,auto-no-nhi-device,3,concurrent-streaming,8,514,76.825,6.69,PASS
v3-tcp-r2-prefill-fix,ea6894e56c51fee03d585cdfdf94fb09435c7b06a72adf6e39df0b5c42fdf751,auto-no-nhi-device,3,sequential-post-reboot,10,800,72.386,11.05,PASS
v3-tcp-r2-prefill-fix,ea6894e56c51fee03d585cdfdf94fb09435c7b06a72adf6e39df0b5c42fdf751,auto-no-nhi-device,3,final-peer-reboot-smoke,2,160,14.641,10.93,PASS
v3-rxprime-post-nhi-fix,ea6894e56c51fee03d585cdfdf94fb09435c7b06a72adf6e39df0b5c42fdf751,required-nhi-cpu-copy,3,mixed-sequential,10,784,70.910,11.06,PASS
v3-rxprime-post-nhi-fix,ea6894e56c51fee03d585cdfdf94fb09435c7b06a72adf6e39df0b5c42fdf751,required-nhi-cpu-copy,3,short-greedy-1,2,160,14.620,10.94,PASS
v3-rxprime-post-nhi-fix,ea6894e56c51fee03d585cdfdf94fb09435c7b06a72adf6e39df0b5c42fdf751,required-nhi-cpu-copy,3,short-greedy-2,2,160,14.638,10.93,PASS
v3-rxprime-post-nhi-fix,ea6894e56c51fee03d585cdfdf94fb09435c7b06a72adf6e39df0b5c42fdf751,required-nhi-cpu-copy,3,short-greedy-3,2,160,14.596,10.96,PASS
v3-rxprime-post-nhi-fix,ea6894e56c51fee03d585cdfdf94fb09435c7b06a72adf6e39df0b5c42fdf751,required-nhi-cpu-copy,3,short-greedy-4,2,160,14.631,10.94,PASS
v3-rxprime-post-nhi-fix,ea6894e56c51fee03d585cdfdf94fb09435c7b06a72adf6e39df0b5c42fdf751,required-nhi-cpu-copy,3,short-greedy-5,2,160,14.627,10.94,PASS
v3-rxprime-post-nhi-fix,ea6894e56c51fee03d585cdfdf94fb09435c7b06a72adf6e39df0b5c42fdf751,required-nhi-mapped,3,short-greedy-1,2,160,14.632,10.94,PASS
v3-rxprime-post-nhi-fix,ea6894e56c51fee03d585cdfdf94fb09435c7b06a72adf6e39df0b5c42fdf751,required-nhi-mapped,3,short-greedy-2,2,160,14.617,10.95,PASS
v3-rxprime-post-nhi-fix,ea6894e56c51fee03d585cdfdf94fb09435c7b06a72adf6e39df0b5c42fdf751,required-nhi-mapped,3,short-greedy-3,2,160,14.616,10.95,PASS
v3-rxprime-post-nhi-fix,ea6894e56c51fee03d585cdfdf94fb09435c7b06a72adf6e39df0b5c42fdf751,required-nhi-mapped,3,short-greedy-4,2,160,14.631,10.94,PASS
v3-rxprime-post-nhi-fix,ea6894e56c51fee03d585cdfdf94fb09435c7b06a72adf6e39df0b5c42fdf751,required-nhi-mapped,3,short-greedy-5,2,160,14.605,10.96,PASS
v3-rxprime-post-nhi-fix,ea6894e56c51fee03d585cdfdf94fb09435c7b06a72adf6e39df0b5c42fdf751,auto-no-nhi-device,3,short-greedy-1,2,160,14.620,10.94,PASS
v3-rxprime-post-nhi-fix,ea6894e56c51fee03d585cdfdf94fb09435c7b06a72adf6e39df0b5c42fdf751,auto-no-nhi-device,3,short-greedy-2,2,160,14.606,10.95,PASS
v3-rxprime-post-nhi-fix,ea6894e56c51fee03d585cdfdf94fb09435c7b06a72adf6e39df0b5c42fdf751,auto-no-nhi-device,3,short-greedy-3,2,160,14.599,10.96,PASS
v3-rxprime-post-nhi-fix,ea6894e56c51fee03d585cdfdf94fb09435c7b06a72adf6e39df0b5c42fdf751,auto-no-nhi-device,3,short-greedy-4,2,160,14.624,10.94,PASS
